id;Point_passage;Altitude_m;Cumul_Dist_km;Delta_Dist_km;Cumul_D+_m;Delta_D+_m;lon;lat;Heure_Passage;Temps_course;Classement;Vitesse_km/h;H_reel_h;Delta_reel_h
0;Crans - Montana;1499;0.0;0.0;0;0;7.48061;46.31157;Fri. 05:01;00:00:00;-;0.0;0.0;0.0
4;Varneralp;2231;12.9;12.9;897;897;7.57764;46.34644;Fri. 06:27;01:26:04;16;8.98;1.4344444444444444;1.4344444444444444
6;Leukerbad;1381;22.9;10.0;949;52;7.62446;46.38088;Fri. 07:17;02:15:51;14;12.06;2.2641666666666667;0.8297222222222222
8;Gemmipass;2313;27.4;4.5;1910;961;7.61392;46.39773;Fri. 08:12;03:11:00;12;4.94;3.183333333333333;0.9191666666666665
12;Bunderchrinde;2379;52.3;9.0;3171;1207;7.62599;46.48234;Fri. 11:08;06:06:15;12;8.52;6.104166666666666;2.920833333333333
14;Adelboden;1317;59.9;7.6;3275;104;7.56197;46.49213;Fri. 11:53;06:52:06;10;9.92;6.868333333333334;0.764166666666668
16;Sillerebühl;1974;69.4;9.5;4242;967;7.51787;46.47191;Fri. 13:22;08:20:28;10;7.06;8.341111111111111;1.472777777777777
18;Lenk;1065;78.3;8.9;4344;102;7.44374;46.45484;Fri. 14:17;09:16:04;11;9.98;9.267777777777779;0.9266666666666676
20;Iffigenalp;1580;86.4;8.1;4886;542;7.44169;46.40024;Fri. 15:28;10:27:07;11;6.85;10.451944444444443;1.1841666666666644
22;Cabane Wildstrubel;2788;92.2;5.8;6105;1219;7.46778;46.38287;Fri. 16:55;11:53:24;7;4.24;11.889999999999999;1.4380555555555556
24;Barrage du Tseuzier;1803;103.4;11.1;6204;99;7.44033;46.34857;Fri. 18:02;13:00:44;7;9.96;13.012222222222222;1.1222222222222236
100;Crans - Montana;1499;113.7;10.4;6440;236;7.48043;46.31168;Fri. 19:10;14:09:01;8;9.1;14.150277777777777;1.138055555555555
